,baseline:eff,baseline:eff+,baseline:eff-,emotions(mod):eff,emotions(mod):eff+,emotions(mod):eff-,emotions(mod+comm):eff,emotions(mod+comm):eff+,emotions(mod+comm):eff-,targetQuality
0,0.6889024082469389,0.6915968008742893,0.6862080156195886,0.6889285150915051,0.6902338545650815,0.6876231756179287,0.8216975422596866,0.8240351764598962,0.819359908059477,1.0
1,0.7025723645476517,0.7046895032030851,0.7004552258922183,0.6976994284230149,0.6996493345755808,0.6957495222704491,0.8278989820964491,0.8301069834682465,0.8256909807246516,0.9
2,0.7280934636479228,0.7300980871782967,0.7260888401175489,0.7137414058358426,0.716020718631358,0.7114620930403271,0.8309370783778822,0.8329604234046274,0.828913733351137,0.8
3,0.752019622159449,0.7538205983045491,0.7502186460143488,0.7376060185473731,0.7395508703681684,0.7356611667265778,0.8371360513491536,0.838906379366827,0.8353657233314802,0.7
4,0.7810908902050416,0.7830942216964613,0.779087558713622,0.7661256163365388,0.7679670122871637,0.7642842203859138,0.8402202363405622,0.8416901751212353,0.8387502975598891,0.6
5,0.8048563710266159,0.8065042565986554,0.8032084854545763,0.797692708634995,0.8002462730782727,0.7951391441917173,0.8446280742609293,0.8458328566906592,0.8434232918311995,0.5
6,0.8266364860771009,0.8281925375254386,0.8250804346287632,0.8278543154690218,0.8296156973459065,0.8260929335921371,0.8467593896098665,0.8482680710927838,0.8452507081269492,0.4
7,0.8435011817414317,0.8452432040680525,0.8417591594148109,0.8464606944529051,0.8481768831211117,0.8447445057846984,0.850292366327539,0.8518157465967222,0.8487689860583558,0.30000000000000004
8,0.8574523444541745,0.8590680917776254,0.8558365971307236,0.8587677773010084,0.8602040667589581,0.8573314878430587,0.8589877751741869,0.8605204130300899,0.8574551373182839,0.19999999999999996
9,0.8692676875798675,0.8709202364305096,0.8676151387292254,0.8691026979577946,0.8704804094304998,0.8677249864850894,0.8691026979577946,0.8704804094304998,0.8677249864850894,0.09999999999999998
10,0.8739936194158103,0.875197632447571,0.8727896063840497,0.8742017067120229,0.8756838122198977,0.8727196012041482,0.8742017067120229,0.8756838122198977,0.8727196012041482,0.0
